Branch Name,Company Name,SAP_CODE,Company Type,Brand,Part No,Part Description,Part Type,ASC_GOOD_STOCK,ASC_DEFECTIVE_STOCK,Engg Good Stock,Engg Defective Stock,Total Fresh Stock,Total Defective Stock,DAMAGE STOCK
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,30709,PRESTIGE OMEGA SLT PLUS OT 250,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,30711,OMEGA SLT PLUS OT 300,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40088,Prestige Magic Gas Stove GTMC 02,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40291,GST 4B GLTOP MARVELPLUS GTM 04-Black-DMT,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40398,Prestige Magic Plus GTMP 02 Burner,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40573,Prestige Mystic 2B Hobtop PHTM 02,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40575,Prestige Mystic 4BHobtop PHTM 04,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40582,Desire Black Hobtop 2B PHTD 02 BLACK AI,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40584,Desire Black Hobtop 4B PHTD 04 BLACK AI,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,40598,Prestige Efficia GlassTop Gas Stove 2B,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41040,CITRUS JUICER PCTJ 3.0,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41041,CITRUS JUICER PCTJ 4.0,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41213,Prestige Wet Grinder PWG 07,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41215,Prestige Wet Grinder PWG 08,PRODUCT,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41217,PRESTIGE WET GRINDER WITH TIMER PWG 9.0,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,41884,Prestige Pink Kettle PKPC 1.5L,PRODUCT,  ,0,0,0,  ,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62024,OLP SWITCH-PWR/PR/NK/EL/UL/SUR/SPRA/SOM,PART,0,0,0,0,0,0,0
"TTK PRESTIGE LTD, VIJAYAWADA",SRI SRINIVASA ENTERPRISES,1000025025,ASC,PRESTIGE,62026,ROTARY SWITCH DLX VS/DATL/BL N/BREZ/ATC,PART,0,0,0,0,0,0,0
